"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000068129",942.509536052702,7.68865155350207,0.254159375860348,30.2513001044145,5.01585760534602e-201,9.80550003269093e-197
"ENSMUSG00000079293",461.836080334774,6.40247946006965,0.243779899259733,26.2633608411175,5.03021159350017e-152,4.91678032206674e-148
"ENSMUSG00000018927",418.518418702061,4.10714382910008,0.159317622991206,25.7795952010079,1.50198188280621e-146,9.78741460899288e-143
"ENSMUSG00000030789",549.149430244563,6.27417089855418,0.25902976519623,24.2218144073177,1.31073512853003e-129,6.40589025690841e-126
"ENSMUSG00000000982",85.3022560028084,4.75501342397301,0.231892296852954,20.5052668350955,1.93207044754295e-93,7.55400903580343e-90
"ENSMUSG00000046805",3348.95857276729,2.13217051800999,0.107348272995223,19.8621781097947,8.64776514999366e-88,2.8175860152871e-84
"ENSMUSG00000089929",93.4321326373226,2.71028776698419,0.136974519174444,19.7868025623984,3.86816672997103e-87,1.08026844863148e-83
"ENSMUSG00000000682",194.155284919365,2.75628017189585,0.141186215311164,19.5223036882264,7.09653376597816e-85,1.73412673238884e-81
"ENSMUSG00000024737",139.390569863781,2.44216890558539,0.125411824420685,19.4731949468601,1.85342801902254e-84,4.02585159376351e-81
"ENSMUSG00000018774",833.685250207285,2.3795407975077,0.12281442445446,19.3750922017311,1.25237001014456e-83,2.4482581328316e-80
"ENSMUSG00000044468",315.580434240615,2.20289808720293,0.115027407841193,19.1510712841957,9.48160625837249e-82,1.68505382495385e-78
"ENSMUSG00000030579",1674.23862031974,2.48704638410428,0.129974226848217,19.1349196253241,1.292785214443e-81,2.10605484642885e-78
"ENSMUSG00000021423",830.105557070151,2.06347716486225,0.109545062440685,18.8367884310582,3.771682916805e-79,5.67174071850931e-76
"ENSMUSG00000023992",1522.13459564478,2.54976184589901,0.137551528105707,18.536775861476,1.04289449937643e-76,1.4562531834507e-73
"ENSMUSG00000021624",177.195041050168,2.48691879673602,0.135093799604997,18.4088300425894,1.11607605964179e-75,1.45454472599582e-72
"ENSMUSG00000027995",128.784955167573,2.57605930823889,0.140599121101995,18.3220157284635,5.52288321011614e-75,6.74792774216002e-72
"ENSMUSG00000026548",71.2657467503108,2.34465583490236,0.128240482683571,18.2832736265328,1.12468407464902e-74,1.29332052795963e-71
"ENSMUSG00000026285",37.4016963727846,4.85978984284607,0.268097063064226,18.1269790399824,1.95192092709711e-73,2.11989456687897e-70
"ENSMUSG00000018930",17.7849375683775,4.13449477052383,0.229754018409805,17.9953099368615,2.12032583333961e-72,2.18159209031348e-69
"ENSMUSG00000030124",703.602332153219,1.97930108123477,0.110305815296753,17.9437600448345,5.36957413647333e-72,5.24849023969586e-69
"ENSMUSG00000040552",218.67951458932,1.97702785592529,0.110753324051708,17.8507315500731,2.85274964987742e-71,2.65563823359303e-68
"ENSMUSG00000020932",13406.751851286,2.79391192662962,0.157255716100661,17.7666796216248,1.28049239452926e-70,1.13783390093875e-67
"ENSMUSG00000041515",360.175393010162,1.78156562452202,0.100353098832498,17.7529707128994,1.63473317654897e-70,1.38945212471112e-67
"ENSMUSG00000028362",25.306078322929,4.39215041518115,0.2481819330827,17.6973011718689,4.39888372940994e-70,3.58307408442645e-67
"ENSMUSG00000033880",1350.39298913376,2.0632594789478,0.117647907127126,17.537579114929,7.40139271456506e-69,5.78759304708129e-66
"ENSMUSG00000038147",307.560007337207,2.17352537481074,0.124123803728721,17.5109472117137,1.18210594992352e-68,8.88807277502111e-66
"ENSMUSG00000063234",57.9937781127939,2.12670048748722,0.122183175423304,17.4058374249913,7.45084297299191e-68,5.39468626959329e-65
"ENSMUSG00000000290",453.664936600205,1.6208423977596,0.0941648188317411,17.2128234076021,2.12799058415137e-66,1.48571742605625e-63
"ENSMUSG00000038642",5416.4874896903,1.66137118961251,0.0967443893071531,17.172791120091,4.24507076245107e-66,2.86161683914331e-63
"ENSMUSG00000028581",2658.12395379665,1.47567920442975,0.0865099000307329,17.0579228955936,3.05216277371732e-65,1.92473322785161e-62
"ENSMUSG00000043008",107.151601017012,1.920037751021,0.112550033576448,17.0594151774894,2.97518795235107e-65,1.92473322785161e-62
"ENSMUSG00000028859",408.244212315331,1.53321634428613,0.0904669002015101,16.9478156195357,1.99738086415517e-64,1.22021245354279e-61
"ENSMUSG00000027848",1077.19216989225,1.23810607128629,0.0730849251133187,16.9406491060447,2.2562132955529e-64,1.33656708226557e-61
"ENSMUSG00000007891",28165.1892339002,1.50154865491744,0.0887679816545081,16.9154308448917,3.46275017218827e-64,1.99097950341496e-61
"ENSMUSG00000051439",183.3280743015,1.96393914851245,0.116158327495056,16.907433077461,3.96611287561941e-64,2.21524401729954e-61
"ENSMUSG00000021886",26.1792865331188,3.31539441526201,0.197029469098679,16.8268961512633,1.55018268095569e-63,8.19041114324401e-61
"ENSMUSG00000024300",221.337935060184,1.67965209286788,0.0998178600019956,16.8271699356638,1.54303251531718e-63,8.19041114324401e-61
"ENSMUSG00000004707",74.2288339854831,3.09528877342215,0.184195017593943,16.8044109653699,2.26551870683526e-63,1.16549013684006e-60
"ENSMUSG00000069516",1303.96930974028,2.97754929779059,0.177476353537298,16.7771606664481,3.58575586574018e-63,1.79738311331679e-60
"ENSMUSG00000043157",49.1103559287182,2.22117645272669,0.132547806919429,16.7575496294471,4.98760550388788e-63,2.4375674998876e-60
"ENSMUSG00000026395",310.831318631118,1.85202645025108,0.111079634678438,16.6729613003541,2.06124740712897e-62,9.82812818584493e-60
